insert into Room_booking values ('R001', '08-Nov-2019', '09-Nov-2019', 'S001', '20WMD02003');
insert into Room_booking values ('R002', '21-Feb-2020', '22-Feb-2020', 'S002', '20WMD02005');
insert into Room_booking values ('R003', '12-May-2019', '23-May-2019', 'S003', '20WMD02006');
insert into Room_booking values ('R004', '09-Jan-2021', '22-Jan-2021', 'S004', '20WMD02008');
insert into Room_booking values ('R005', '06-Aug-2019', '08-Aug-2019', 'S005', '20WMD02010');
insert into Room_booking values ('R006', '05-Jan-2021', '20-Jan-2021', 'S006', '20WMD02011');
insert into Room_booking values ('R007', '10-Jan-2020', '21-Jan-2020', 'S007', '20WMD02015');
insert into Room_booking values ('R008', '04-Aug-2019', '16-Aug-2019', 'S008', '20WMD02016');
insert into Room_booking values ('R009', '12-Sep-2020', '13-Sep-2020', 'S009', '20WMD02018');
insert into Room_booking values ('R010', '10-Nov-2019', '26-Nov-2019', 'S010', '20WMD02019');
insert into Room_booking values ('R011', '17-Mar-2020', '18-Mar-2020', 'S001', '20WMD02021');
insert into Room_booking values ('R012', '12-Sep-2020', '13-Sep-2020', 'S002', '20WMD02022');
insert into Room_booking values ('R013', '19-Aug-2020', '20-Aug-2020', 'S003', '20WMD02025');
insert into Room_booking values ('R014', '19-May-2019', '28-May-2019', 'S004', '20WMD02026');
insert into Room_booking values ('R015', '20-Jun-2020', '25-Jun-2020', 'S005', '20WMD02028');
insert into Room_booking values ('R016', '17-Nov-2019', '24-Nov-2019', 'S006', '20WMD02029');
insert into Room_booking values ('R017', '29-Jan-2020', '30-Jan-2020', 'S007', '20WMD02030');
insert into Room_booking values ('R018', '20-May-2019', '22-May-2019', 'S008', '20WMD02032');
insert into Room_booking values ('R019', '13-May-2019', '18-May-2019', 'S009', '20WMD02033');
insert into Room_booking values ('R020', '09-Jan-2021', '12-Jan-2021', 'S010', '20WMD02034');
insert into Room_booking values ('R021', '09-Feb-2020', '10-Feb-2020', 'S001', '20WMD02035');
insert into Room_booking values ('R022', '11-Feb-2020', '24-Feb-2020', 'S002', '20WMD02037');
insert into Room_booking values ('R023', '13-Feb-2020', '16-Feb-2020', 'S003', '20WMD02038');
insert into Room_booking values ('R024', '22-Oct-2020', '23-Oct-2020', 'S004', '20WMD02039');
insert into Room_booking values ('R025', '07-Jul-2019', '22-Jul-2019', 'S005', '20WMD02041');
insert into Room_booking values ('R026', '07-Jul-2019', '16-Jul-2019', 'S006', '20WMD02043');
insert into Room_booking values ('R027', '20-Feb-2020', '22-Feb-2020', 'S007', '20WMD02044');
insert into Room_booking values ('R028', '15-Jan-2021', '20-Jan-2021', 'S008', '20WMD02045');
insert into Room_booking values ('R029', '10-Mar-2019', '12-Mar-2019', 'S009', '20WMD02046');
insert into Room_booking values ('R030', '04-Jun-2020', '22-Jun-2020', 'S010', '20WMD02047');
insert into Room_booking values ('R031', '11-Apr-2019', '19-Apr-2019', 'S001', '20WMD02048');
insert into Room_booking values ('R032', '12-Apr-2019', '16-Apr-2019', 'S002', '20WMD02049');
insert into Room_booking values ('R033', '03-Sep-2019', '05-Sep-2019', 'S003', '20WMD02052');
insert into Room_booking values ('R034', '02-Nov-2020', '17-Nov-2020', 'S004', '20WMD02053');
insert into Room_booking values ('R035', '01-Aug-2019', '23-Aug-2019', 'S005', '20WMD02055');
insert into Room_booking values ('R036', '06-Jun-2020', '17-Jun-2020', 'S006', '20WMD02059');
insert into Room_booking values ('R037', '22-Dec-2020', '23-Dec-2020', 'S007', '20WMD02060');
insert into Room_booking values ('R038', '03-Nov-2020', '26-Nov-2020', 'S008', '20WMD02062');
insert into Room_booking values ('R039', '05-Jan-2021', '13-Jan-2021', 'S009', '20WMD02066');
insert into Room_booking values ('R040', '11-Nov-2020', '13-Nov-2020', 'S010', '20WMD02067');
insert into Room_booking values ('R041', '22-Nov-2020', '26-Nov-2020', 'S001', '20WMD02069');
insert into Room_booking values ('R042', '20-Aug-2019', '21-Aug-2019', 'S002', '20WMD02070');
insert into Room_booking values ('R043', '09-Nov-2019', '11-Nov-2019', 'S003', '20WMD02074');
insert into Room_booking values ('R044', '13-Oct-2019', '22-Oct-2019', 'S004', '20WMD02075');
insert into Room_booking values ('R045', '19-Feb-2020', '22-Feb-2020', 'S005', '20WMD02076');
insert into Room_booking values ('R046', '01-Sep-2019', '27-Sep-2019', 'S006', '20WMD02077');
insert into Room_booking values ('R047', '18-Sep-2020', '26-Sep-2020', 'S007', '20WMD02079');
insert into Room_booking values ('R048', '25-Aug-2019', '26-Aug-2019', 'S008', '20WMD02080');
insert into Room_booking values ('R049', '14-Oct-2020', '24-Oct-2020', 'S009', '20WMD02085');
insert into Room_booking values ('R050', '11-Jul-2019', '12-Jul-2019', 'S010', '20WMD02086');
insert into Room_booking values ('R051', '18-Oct-2019', '30-Oct-2019', 'S001', '20WMD02088');
insert into Room_booking values ('R052', '03-Jun-2020', '24-Jun-2020', 'S002', '20WMD02089');
insert into Room_booking values ('R053', '23-Dec-2019', '25-Dec-2019', 'S003', '20WMD02090');
insert into Room_booking values ('R054', '16-Jun-2019', '29-Jun-2019', 'S004', '20WMD02092');
insert into Room_booking values ('R055', '27-Oct-2019', '28-Oct-2019', 'S005', '20WMD02093');
insert into Room_booking values ('R056', '11-Jul-2020', '14-Jul-2020', 'S006', '20WMD02095');
insert into Room_booking values ('R057', '17-Jun-2020', '20-Jun-2020', 'S007', '20WMD02096');
insert into Room_booking values ('R058', '13-Feb-2021', '23-Feb-2021', 'S008', '20WMD02098');
insert into Room_booking values ('R059', '03-May-2020', '19-May-2020', 'S009', '20WMD02099');
insert into Room_booking values ('R060', '24-Mar-2019', '25-Mar-2019', 'S010', '20WMD02103');
insert into Room_booking values ('R061', '10-May-2019', '13-May-2019', 'S001', '20WMD02104');
insert into Room_booking values ('R062', '20-Jan-2021', '27-Jan-2021', 'S002', '20WMD02105');
insert into Room_booking values ('R063', '20-Nov-2019', '22-Nov-2019', 'S003', '20WMD02109');
